condition_family,condition,icd_10_cm_code,icd_10_cm_description,condition_column_name
Cancer,Breast Cancer,C50322,Malignant neoplasm of lower-inner quadrant of left male breast,breast_cancer
Cancer,Breast Cancer,C50329,Malignant neoplasm of lower-inner quadrant of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50411,Malignant neoplasm of upper-outer quadrant of right female breast,breast_cancer
Cancer,Breast Cancer,C50412,Malignant neoplasm of upper-outer quadrant of left female breast,breast_cancer
Cancer,Breast Cancer,C50419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50421,Malignant neoplasm of upper-outer quadrant of right male breast,breast_cancer
Cancer,Breast Cancer,C50422,Malignant neoplasm of upper-outer quadrant of left male breast,breast_cancer
Cancer,Breast Cancer,C50429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50511,Malignant neoplasm of lower-outer quadrant of right female breast,breast_cancer
Cancer,Breast Cancer,C50512,Malignant neoplasm of lower-outer quadrant of left female breast,breast_cancer
Cancer,Breast Cancer,C50519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50521,Malignant neoplasm of lower-outer quadrant of right male breast,breast_cancer
Cancer,Breast Cancer,C50522,Malignant neoplasm of lower-outer quadrant of left male breast,breast_cancer
Cancer,Breast Cancer,C50529,Malignant neoplasm of lower-outer quadrant of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50611,Malignant neoplasm of axillary tail of right female breast,breast_cancer
Cancer,Breast Cancer,C50612,Malignant neoplasm of axillary tail of left female breast,breast_cancer
Cancer,Breast Cancer,C50619,Malignant neoplasm of axillary tail of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50621,Malignant neoplasm of axillary tail of right male breast,breast_cancer
Cancer,Breast Cancer,C50622,Malignant neoplasm of axillary tail of left male breast,breast_cancer
Cancer,Breast Cancer,C50629,Malignant neoplasm of axillary tail of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50811,Malignant neoplasm of overlapping sites of right female breast,breast_cancer
Cancer,Breast Cancer,C50812,Malignant neoplasm of overlapping sites of left female breast,breast_cancer
Cancer,Breast Cancer,C50819,Malignant neoplasm of overlapping sites of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50821,Malignant neoplasm of overlapping sites of right male breast,breast_cancer
Cancer,Breast Cancer,C50822,Malignant neoplasm of overlapping sites of left male breast,breast_cancer
Cancer,Breast Cancer,C50829,Malignant neoplasm of overlapping sites of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50911,Malignant neoplasm of unspecified site of right female breast,breast_cancer
Cancer,Breast Cancer,C50912,Malignant neoplasm of unspecified site of left female breast,breast_cancer
Cancer,Breast Cancer,C50919,Malignant neoplasm of unspecified site of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50921,Malignant neoplasm of unspecified site of right male breast,breast_cancer
Cancer,Breast Cancer,C50922,Malignant neoplasm of unspecified site of left male breast,breast_cancer
Cancer,Breast Cancer,C50929,Malignant neoplasm of unspecified site of unspecified male breast,breast_cancer
Cancer,Breast Cancer,D0500,Lobular carcinoma in situ of unspecified breast,breast_cancer
Cancer,Breast Cancer,D0501,Lobular carcinoma in situ of right breast,breast_cancer
Cancer,Breast Cancer,D0502,Lobular carcinoma in situ of left breast,breast_cancer
Cancer,Breast Cancer,D0510,Intraductal carcinoma in situ of unspecified breast,breast_cancer
Cancer,Breast Cancer,D0511,Intraductal carcinoma in situ of right breast,breast_cancer
Cancer,Breast Cancer,D0512,Intraductal carcinoma in situ of left breast,breast_cancer
Cancer,Breast Cancer,D0580,Other specified type of carcinoma in situ of unspecified breast,breast_cancer
Cancer,Breast Cancer,D0581,Other specified type of carcinoma in situ of right breast,breast_cancer
Cancer,Breast Cancer,D0582,Other specified type of carcinoma in situ of left breast,breast_cancer
Cancer,Breast Cancer,D0590,Unspecified type of carcinoma in situ of unspecified breast,breast_cancer
Cancer,Breast Cancer,D0591,Unspecified type of carcinoma in situ of right breast,breast_cancer
Cancer,Breast Cancer,D0592,Unspecified type of carcinoma in situ of left breast,breast_cancer
Cancer,Breast Cancer,Z170,Estrogen receptor positive status [ER+],breast_cancer
Cancer,Breast Cancer,Z171,Estrogen receptor negative status [ER-],breast_cancer
Cancer,Breast Cancer,Z191,Hormone sensitive malignancy status,breast_cancer
Cancer,Breast Cancer,Z192,Hormone resistant malignancy status,breast_cancer
Cancer,Breast Cancer,Z853,Personal history of malignant neoplasm of breast,breast_cancer
Cancer,Breast Cancer,Z86000,Personal history of in-situ neoplasm of breast,breast_cancer
Cancer,Colorectal Cancer,C180,Malignant neoplasm of cecum,colorectal_cancer
Cancer,Colorectal Cancer,C181,Malignant neoplasm of appendix,colorectal_cancer
Cancer,Colorectal Cancer,C182,Malignant neoplasm of ascending colon,colorectal_cancer
Cancer,Colorectal Cancer,C183,Malignant neoplasm of hepatic flexure,colorectal_cancer
Cancer,Colorectal Cancer,C184,Malignant neoplasm of transverse colon,colorectal_cancer
Cancer,Colorectal Cancer,C185,Malignant neoplasm of splenic flexure,colorectal_cancer
Cancer,Colorectal Cancer,C186,Malignant neoplasm of descending colon,colorectal_cancer
Cancer,Colorectal Cancer,C187,Malignant neoplasm of sigmoid colon,colorectal_cancer
Cancer,Colorectal Cancer,C188,Malignant neoplasm of overlapping sites of colon,colorectal_cancer
Cancer,Colorectal Cancer,C189,"Malignant neoplasm of colon, unspecified",colorectal_cancer
Cancer,Colorectal Cancer,C19,Malignant neoplasm of rectosigmoid junction,colorectal_cancer
Cancer,Colorectal Cancer,C20,Malignant neoplasm of rectum,colorectal_cancer
Cancer,Colorectal Cancer,C49A4,Gastrointestinal stromal tumor of large intestine,colorectal_cancer
Cancer,Colorectal Cancer,C49A5,Gastrointestinal stromal tumor of rectum,colorectal_cancer
Cancer,Colorectal Cancer,D010,Carcinoma in situ of colon,colorectal_cancer
Cancer,Colorectal Cancer,D011,Carcinoma in situ of rectosigmoid junction,colorectal_cancer
Cancer,Colorectal Cancer,D012,Carcinoma in situ of rectum,colorectal_cancer
Cancer,Colorectal Cancer,Z85030,Personal history of malignant carcinoid tumor of large intestine,colorectal_cancer
Cancer,Colorectal Cancer,Z85038,Personal history of other malignant neoplasm of large intestine,colorectal_cancer
Cancer,Colorectal Cancer,Z85040,Personal history of malignant carcinoid tumor of rectum,colorectal_cancer
Cancer,Colorectal Cancer,Z85048,"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",colorectal_cancer
Cancer,Lung Cancer,C3400,Malignant neoplasm of unspecified main bronchus,lung_cancer
Cancer,Lung Cancer,C3401,Malignant neoplasm of right main bronchus,lung_cancer
Cancer,Lung Cancer,C3402,Malignant neoplasm of left main bronchus,lung_cancer
Cancer,Lung Cancer,C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",lung_cancer
Cancer,Lung Cancer,C342,"Malignant neoplasm of middle lobe, bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",lung_cancer
Cancer,Lung Cancer,C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,lung_cancer
Cancer,Lung Cancer,C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,lung_cancer
Cancer,Lung Cancer,C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,lung_cancer
Cancer,Lung Cancer,C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,lung_cancer
Cancer,Lung Cancer,C3491,Malignant neoplasm of unspecified part of right bronchus or lung,lung_cancer
Cancer,Lung Cancer,C3492,Malignant neoplasm of unspecified part of left bronchus or lung,lung_cancer
Cancer,Lung Cancer,D0220,Carcinoma in situ of unspecified bronchus and lung,lung_cancer
Cancer,Lung Cancer,D0221,Carcinoma in situ of right bronchus and lung,lung_cancer
Cancer,Lung Cancer,D0222,Carcinoma in situ of left bronchus and lung,lung_cancer
Cancer,Lung Cancer,Z85110,Personal history of malignant carcinoid tumor of bronchus and lung,lung_cancer
Cancer,Lung Cancer,Z85118,Personal history of other malignant neoplasm of bronchus and lung,lung_cancer
Mental Health,Attention-Deficit Hyperactivity Disorder (ADHD),F900,"Attention-deficit hyperactivity disorder, predominantly inattentive type",attention_deficit_hyperactivity_disorder
Mental Health,Attention-Deficit Hyperactivity Disorder (ADHD),F901,"Attention-deficit hyperactivity disorder, predominantly hyperactive type",attention_deficit_hyperactivity_disorder
Mental Health,Attention-Deficit Hyperactivity Disorder (ADHD),F902,"Attention-deficit hyperactivity disorder, combined type",attention_deficit_hyperactivity_disorder
Mental Health,Attention-Deficit Hyperactivity Disorder (ADHD),F908,"Attention-deficit hyperactivity disorder, other type",attention_deficit_hyperactivity_disorder
Mental Health,Attention-Deficit Hyperactivity Disorder (ADHD),F909,"Attention-deficit hyperactivity disorder, unspecified type",attention_deficit_hyperactivity_disorder
Mental Health,Anxiety,F064,Anxiety disorder due to known physiological condition,anxiety
Mental Health,Anxiety,F4000,"Agoraphobia, unspecified",anxiety
Mental Health,Anxiety,F4001,Agoraphobia with panic disorder,anxiety
Mental Health,Anxiety,F4002,Agoraphobia without panic disorder,anxiety
Mental Health,Anxiety,F4010,"Social phobia, unspecified",anxiety
Mental Health,Anxiety,F4011,"Social phobia, generalized",anxiety
Mental Health,Anxiety,F40210,Arachnophobia,anxiety
Mental Health,Anxiety,F40218,Other animal type phobia,anxiety
Mental Health,Anxiety,F40220,Fear of thunderstorms,anxiety
Mental Health,Anxiety,F40228,Other natural environment type phobia,anxiety
Mental Health,Anxiety,F40230,Fear of blood,anxiety
Mental Health,Anxiety,F40231,Fear of injections and transfusions,anxiety
Mental Health,Anxiety,F40232,Fear of other medical care,anxiety
Mental Health,Anxiety,F40233,Fear of injury,anxiety
Mental Health,Anxiety,F40240,Claustrophobia,anxiety
Mental Health,Anxiety,F40241,Acrophobia,anxiety
Mental Health,Anxiety,F40242,Fear of bridges,anxiety
Mental Health,Anxiety,F40243,Fear of flying,anxiety
Mental Health,Anxiety,F40248,Other situational type phobia,anxiety
Mental Health,Anxiety,F40290,Androphobia,anxiety
Mental Health,Anxiety,F40291,Gynephobia,anxiety
Mental Health,Anxiety,F40298,Other specified phobia,anxiety
Mental Health,Anxiety,F408,Other phobic anxiety disorders,anxiety
Mental Health,Anxiety,F409,"Phobic anxiety disorder, unspecified",anxiety
Mental Health,Anxiety,F410,Panic disorder [episodic paroxysmal anxiety],anxiety
Mental Health,Anxiety,F411,Generalized anxiety disorder,anxiety
Mental Health,Anxiety,F413,Other mixed anxiety disorders,anxiety
Mental Health,Anxiety,F418,Other specified anxiety disorders,anxiety
Mental Health,Anxiety,F419,"Anxiety disorder, unspecified",anxiety
Mental Health,Bipolar,F310,"Bipolar disorder, current episode hypomanic",bipolar
Mental Health,Bipolar,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",bipolar
Mental Health,Bipolar,F3111,"Bipolar disorder, current episode manic without psychotic features, mild",bipolar
Mental Health,Bipolar,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate",bipolar
Mental Health,Bipolar,F3113,"Bipolar disorder, current episode manic without psychotic features, severe",bipolar
Mental Health,Bipolar,F312,"Bipolar disorder, current episode manic severe with psychotic features",bipolar
Mental Health,Bipolar,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",bipolar
Mental Health,Bipolar,F3131,"Bipolar disorder, current episode depressed, mild",bipolar
Mental Health,Bipolar,F3132,"Bipolar disorder, current episode depressed, moderate",bipolar
Mental Health,Bipolar,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features",bipolar
Mental Health,Bipolar,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features",bipolar
Mental Health,Bipolar,F3160,"Bipolar disorder, current episode mixed, unspecified",bipolar
Mental Health,Bipolar,F3161,"Bipolar disorder, current episode mixed, mild",bipolar
Mental Health,Bipolar,F3162,"Bipolar disorder, current episode mixed, moderate",bipolar
Mental Health,Bipolar,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features",bipolar
Mental Health,Bipolar,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features",bipolar
Mental Health,Bipolar,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified",bipolar
Mental Health,Bipolar,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic",bipolar
Mental Health,Bipolar,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic",bipolar
Mental Health,Bipolar,F3173,"Bipolar disorder, in partial remission, most recent episode manic",bipolar
Mental Health,Bipolar,F3174,"Bipolar disorder, in full remission, most recent episode manic",bipolar
Mental Health,Bipolar,F3175,"Bipolar disorder, in partial remission, most recent episode depressed",bipolar
Mental Health,Bipolar,F3176,"Bipolar disorder, in full remission, most recent episode depressed",bipolar
Mental Health,Bipolar,F3177,"Bipolar disorder, in partial remission, most recent episode mixed",bipolar
Mental Health,Bipolar,F3178,"Bipolar disorder, in full remission, most recent episode mixed",bipolar
Mental Health,Bipolar,F3181,Bipolar II disorder,bipolar
Mental Health,Bipolar,F3189,Other bipolar disorder,bipolar
Mental Health,Bipolar,F319,"Bipolar disorder, unspecified",bipolar
Mental Health,Depression,F320,"Major depressive disorder, single episode, mild",depression
Mental Health,Depression,F321,"Major depressive disorder, single episode, moderate",depression
Mental Health,Depression,F322,"Major depressive disorder, single episode, severe without psychotic features",depression
Mental Health,Depression,F323,"Major depressive disorder, single episode, severe with psychotic features",depression
Mental Health,Depression,F324,"Major depressive disorder, single episode, in partial remission",depression
Mental Health,Depression,F325,"Major depressive disorder, single episode, in full remission",depression
Mental Health,Depression,F3289,Other specified depressive episodes,depression
Mental Health,Depression,F329,"Major depressive disorder, single episode, unspecified",depression
Mental Health,Depression,F32A,"Depression, unspecified",depression
Mental Health,Depression,F330,"Major depressive disorder, recurrent, mild",depression
Mental Health,Depression,F331,"Major depressive disorder, recurrent, moderate",depression
Mental Health,Depression,F332,"Major depressive disorder, recurrent severe without psychotic features",depression
Mental Health,Depression,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms",depression
Mental Health,Depression,F3340,"Major depressive disorder, recurrent, in remission, unspecified",depression
Mental Health,Depression,F3341,"Major depressive disorder, recurrent, in partial remission",depression
Mental Health,Depression,F3342,"Major depressive disorder, recurrent, in full remission",depression
Mental Health,Depression,F338,Other recurrent depressive disorders,depression
Mental Health,Depression,F339,"Major depressive disorder, recurrent, unspecified",depression
Mental Health,Personality Disorder,F21,Schizotypal disorder,personality_disorder
Mental Health,Personality Disorder,F340,Cyclothymic disorder,personality_disorder
Mental Health,Personality Disorder,F341,Dysthymic disorder,personality_disorder
Mental Health,Personality Disorder,F600,Paranoid personality disorder,personality_disorder
Mental Health,Personality Disorder,F601,Schizoid personality disorder,personality_disorder
Mental Health,Personality Disorder,F602,Antisocial personality disorder,personality_disorder
Mental Health,Personality Disorder,F603,Borderline personality disorder,personality_disorder
Mental Health,Personality Disorder,F604,Histrionic personality disorder,personality_disorder
Mental Health,Personality Disorder,F605,Obsessive-compulsive personality disorder,personality_disorder
Mental Health,Personality Disorder,F606,Avoidant personality disorder,personality_disorder
Mental Health,Personality Disorder,F607,Dependent personality disorder,personality_disorder
Mental Health,Personality Disorder,F6081,Narcissistic personality disorder,personality_disorder
Mental Health,Personality Disorder,F6089,Other specific personality disorders,personality_disorder
Mental Health,Personality Disorder,F609,"Personality disorder, unspecified",personality_disorder
Mental Health,Personality Disorder,F6810,"Factitious disorder imposed on self, unspecified",personality_disorder
Mental Health,Personality Disorder,F6811,"Factitious disorder imposed on self, with predominantly psychological signs and symptoms",personality_disorder
Mental Health,Personality Disorder,F6812,"Factitious disorder imposed on self, with predominantly physical signs and symptoms",personality_disorder
Mental Health,Personality Disorder,F6813,"Factitious disorder imposed on self, with combined psychological and physical signs and symptoms",personality_disorder
Mental Health,Personality Disorder,F69,Unspecified disorder of adult personality and behavior,personality_disorder
Mental Health,Post-Traumatic Stress Disorder (PTSD),F4310,"Post-traumatic stress disorder, unspecified",post_traumatic_stress_disorder
Mental Health,Post-Traumatic Stress Disorder (PTSD),F4311,"Post-traumatic stress disorder, acute",post_traumatic_stress_disorder
Mental Health,Post-Traumatic Stress Disorder (PTSD),F4312,"Post-traumatic stress disorder, chronic",post_traumatic_stress_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F42,Obsessive-compulsive disorder,obsessive_compulsive_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F422,Mixed obsessional thoughts and acts,obsessive_compulsive_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F423,Hoarding disorder,obsessive_compulsive_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F424,Excoriation (skin-picking) disorder,obsessive_compulsive_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F428,Other obsessive-compulsive disorder,obsessive_compulsive_disorder
Mental Health,Obsessive-Compulsive Disorder (OCD),F429,"Obsessive-compulsive disorder, unspecified",obsessive_compulsive_disorder
Mental Health,Schizophrenia,F200,Paranoid schizophrenia,schizophrenia
Mental Health,Schizophrenia,F201,Disorganized schizophrenia,schizophrenia
Mental Health,Schizophrenia,F202,Catatonic schizophrenia,schizophrenia
Mental Health,Schizophrenia,F203,Undifferentiated schizophrenia,schizophrenia
Mental Health,Schizophrenia,F205,Residual schizophrenia,schizophrenia
Mental Health,Schizophrenia,F2081,Schizophreniform disorder,schizophrenia
Mental Health,Schizophrenia,F2089,Other schizophrenia,schizophrenia
Mental Health,Schizophrenia,F209,"Schizophrenia, unspecified",schizophrenia
Mental Health,Schizophrenia,F250,"Schizoaffective disorder, bipolar type",schizophrenia
Mental Health,Schizophrenia,F251,"Schizoaffective disorder, depressive type",schizophrenia
Mental Health,Schizophrenia,F258,Other schizoaffective disorders,schizophrenia
Mental Health,Schizophrenia,F259,"Schizoaffective disorder, unspecified",schizophrenia
Substance Use,Alcohol,F1010,"Alcohol abuse, uncomplicated",alcohol
Substance Use,Alcohol,F10120,"Alcohol abuse with intoxication, uncomplicated",alcohol
Substance Use,Alcohol,F10121,Alcohol abuse with intoxication delirium,alcohol
Substance Use,Alcohol,F10129,"Alcohol abuse with intoxication, unspecified",alcohol
Substance Use,Alcohol,F10130,"Alcohol abuse with withdrawal, uncomplicated",alcohol
Substance Use,Alcohol,F10131,Alcohol abuse with withdrawal delirium,alcohol
Substance Use,Alcohol,F10132,Alcohol abuse with withdrawal with perceptual disturbance,alcohol
Substance Use,Alcohol,F10139,"Alcohol abuse with withdrawal, unspecified",alcohol
Substance Use,Alcohol,F1014,Alcohol abuse with alcohol-induced mood disorder,alcohol
Substance Use,Alcohol,F10150,Alcohol abuse with alcohol-induced psychotic disorder with delusions,alcohol
Substance Use,Alcohol,F10151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,alcohol
Substance Use,Alcohol,F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",alcohol
Substance Use,Alcohol,F10180,Alcohol abuse with alcohol-induced anxiety disorder,alcohol
Substance Use,Alcohol,F10181,Alcohol abuse with alcohol-induced sexual dysfunction,alcohol
Substance Use,Alcohol,F10182,Alcohol abuse with alcohol-induced sleep disorder,alcohol
Substance Use,Alcohol,F10188,Alcohol abuse with other alcohol-induced disorder,alcohol
Substance Use,Alcohol,F1019,Alcohol abuse with unspecified alcohol-induced disorder,alcohol
Substance Use,Alcohol,F1020,"Alcohol dependence, uncomplicated",alcohol
Substance Use,Alcohol,F10220,"Alcohol dependence with intoxication, uncomplicated",alcohol
Substance Use,Alcohol,F10221,Alcohol dependence with intoxication delirium,alcohol
Substance Use,Alcohol,F10229,"Alcohol dependence with intoxication, unspecified",alcohol
Substance Use,Alcohol,F10230,"Alcohol dependence with withdrawal, uncomplicated",alcohol
Substance Use,Alcohol,F10231,Alcohol dependence with withdrawal delirium,alcohol
Substance Use,Alcohol,F10232,Alcohol dependence with withdrawal with perceptual disturbance,alcohol
Substance Use,Alcohol,F10239,"Alcohol dependence with withdrawal, unspecified",alcohol
Substance Use,Alcohol,F1024,Alcohol dependence with alcohol-induced mood disorder,alcohol
Substance Use,Alcohol,F10250,Alcohol dependence with alcohol-induced psychotic disorder with delusions,alcohol
Substance Use,Alcohol,F10251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,alcohol
Substance Use,Alcohol,F10259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",alcohol
Substance Use,Alcohol,F1026,Alcohol dependence with alcohol-induced persisting amnestic disorder,alcohol
Substance Use,Alcohol,F1027,Alcohol dependence with alcohol-induced persisting dementia,alcohol
Substance Use,Alcohol,F10280,Alcohol dependence with alcohol-induced anxiety disorder,alcohol
Substance Use,Alcohol,F10281,Alcohol dependence with alcohol-induced sexual dysfunction,alcohol
Substance Use,Alcohol,F10282,Alcohol dependence with alcohol-induced sleep disorder,alcohol
Substance Use,Alcohol,F10288,Alcohol dependence with other alcohol-induced disorder,alcohol
Substance Use,Alcohol,F1029,Alcohol dependence with unspecified alcohol-induced disorder,alcohol
Substance Use,Alcohol,F10920,"Alcohol use, unspecified with intoxication, uncomplicated",alcohol
Substance Use,Alcohol,F10921,"Alcohol use, unspecified with intoxication delirium",alcohol
Substance Use,Alcohol,F10929,"Alcohol use, unspecified with intoxication, unspecified",alcohol
Substance Use,Alcohol,F10930,"Alcohol use, unspecified with withdrawal, uncomplicated",alcohol
Substance Use,Alcohol,F10931,"Alcohol use, unspecified with withdrawal delirium",alcohol
Substance Use,Alcohol,F10932,"Alcohol use, unspecified with withdrawal with perceptual disturbance",alcohol
Substance Use,Alcohol,F10939,"Alcohol use, unspecified with withdrawal, unspecified",alcohol
Substance Use,Alcohol,F1094,"Alcohol use, unspecified with alcohol-induced mood disorder",alcohol
Substance Use,Alcohol,F10950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",alcohol
Substance Use,Alcohol,F10951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",alcohol
Substance Use,Alcohol,F10959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",alcohol
Substance Use,Alcohol,F1096,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",alcohol
Substance Use,Alcohol,F1097,"Alcohol use, unspecified with alcohol-induced persisting dementia",alcohol
Substance Use,Alcohol,F10980,"Alcohol use, unspecified with alcohol-induced anxiety disorder",alcohol
Substance Use,Alcohol,F10981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction",alcohol
Substance Use,Alcohol,F10982,"Alcohol use, unspecified with alcohol-induced sleep disorder",alcohol
Substance Use,Alcohol,F10988,"Alcohol use, unspecified with other alcohol-induced disorder",alcohol
Substance Use,Alcohol,F1099,"Alcohol use, unspecified with unspecified alcohol-induced disorder",alcohol
Substance Use,Alcohol,G621,Alcoholic polyneuropathy,alcohol
Substance Use,Alcohol,HZ2ZZZZ,NULL,alcohol
Substance Use,Alcohol,HZ30ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ31ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ32ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ33ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ34ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ35ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ36ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ37ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ38ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ39ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ3BZZZ,NULL,alcohol
Substance Use,Alcohol,HZ40ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ93ZZZ,NULL,alcohol
Substance Use,Alcohol,HZ96ZZZ,NULL,alcohol
Substance Use,Alcohol,I426,Alcoholic cardiomyopathy,alcohol
Substance Use,Alcohol,K2920,Alcoholic gastritis without bleeding,alcohol
Substance Use,Alcohol,K2921,Alcoholic gastritis with bleeding,alcohol
Substance Use,Alcohol,K700,Alcoholic fatty liver,alcohol
Substance Use,Alcohol,K7010,Alcoholic hepatitis without ascites,alcohol
Substance Use,Alcohol,K7011,Alcoholic hepatitis with ascites,alcohol
Substance Use,Alcohol,K702,Alcoholic fibrosis and sclerosis of liver,alcohol
Substance Use,Alcohol,K7030,Alcoholic cirrhosis of liver without ascites,alcohol
Substance Use,Alcohol,K7031,Alcoholic cirrhosis of liver with ascites,alcohol
Substance Use,Alcohol,K7040,Alcoholic hepatic failure without coma,alcohol
Substance Use,Alcohol,K7041,Alcoholic hepatic failure with coma,alcohol
Substance Use,Alcohol,K709,"Alcoholic liver disease, unspecified",alcohol
Substance Use,Alcohol,P043,Newborn affected by maternal use of alcohol,alcohol
Substance Use,Alcohol,Q860,Fetal alcohol syndrome (dysmorphic),alcohol
Substance Use,Alcohol,T510X1A,"Toxic effect of ethanol, accidental (unintentional), initial encounter",alcohol
Substance Use,Alcohol,T510X2A,"Toxic effect of ethanol, intentional self-harm, initial encounter",alcohol
Substance Use,Alcohol,T510X3A,"Toxic effect of ethanol, assault, initial encounter",alcohol
Substance Use,Alcohol,T510X4A,"Toxic effect of ethanol, undetermined, initial encounter",alcohol
